date,emissions_24h,emissions_365d,intensity
2017-05-16,0.0014877417789824,0.5133288665959854,0.484
2017-05-17,0.0014100984572662,0.5171947586093164,0.484
2017-05-18,0.001461866635104,0.522546380560187,0.484
2017-05-19,0.0015184228571795,0.5283743489561192,0.484
2017-05-20,0.0015602866483825,0.538137371758632,0.484
2017-05-21,0.001607093700933,0.5480796557828773,0.484
2017-05-22,0.0016536500678676,0.5578847790266057,0.484
2017-05-23,0.0015932220234652,0.5633848203460647,0.484
2017-05-24,0.0016322078653926,0.5749662394840874,0.484
2017-05-25,0.0016410232145155,0.5843079754105422,0.484
2017-05-26,0.0016439077680203,0.5908511171900974,0.484
2017-05-27,0.0016943694826918,0.5978425792647948,0.484
2017-05-28,0.0016831024239936,0.6018058912529561,0.484
2017-05-29,0.0017922786409916,0.6090343811372797,0.484
2017-05-30,0.001910853286788,0.6255965827248275,0.484
2017-05-31,0.0018605906984733,0.6375051161640365,0.484
2017-06-01,0.0019623865126193,0.6542619167080221,0.484
2017-06-02,0.0019130919130629,0.6682979471281013,0.484
2017-06-03,0.0019698988755404,0.6826648368980686,0.484
2017-06-04,0.0020226349887533,0.7003690349176833,0.484
2017-06-05,0.0020699623090136,0.7148482547502574,0.484
2017-06-06,0.0020992550879668,0.7246720629545804,0.484
2017-06-07,0.0021848514762962,0.7415799463696284,0.484
2017-06-08,0.0022039963281976,0.7541781724676373,0.484
2017-06-09,0.0022005785752095,0.7691685484224207,0.484
2017-06-10,0.0023153226548968,0.7871799312031447,0.484
2017-06-11,0.0023722861455394,0.8054117415212759,0.484
2017-06-12,0.0023696784098316,0.8210397953496449,0.484
2017-06-13,0.0024519913665069,0.8394324727306646,0.484
2017-06-14,0.0025107437472164,0.8564254268572206,0.484
2017-06-15,0.0025571353809524,0.8748391060365754,0.484
2017-06-16,0.0026009933814611,0.8957178780768374,0.484
2017-06-17,0.0026869509823879,0.9150956408674432,0.484
2017-06-18,0.0027397594120043,0.9342567469045406,0.484
2017-06-19,0.0027703004487292,0.9551463246470592,0.484
2017-06-20,0.0028242322460713,0.974556027652918,0.484
2017-06-21,0.0028511743898117,0.9923070540168162,0.484
2017-06-22,0.0028846050013348,1.00938225565104,0.484
2017-06-23,0.0028632487273025,1.023056998684199,0.484
2017-06-24,0.0029347373037293,1.035977285439861,0.484
2017-06-25,0.002971809088343,1.048077018563236,0.484
2017-06-26,0.003078086270367,1.064125850691497,0.484
2017-06-27,0.003072988071761,1.0770966901738852,0.484
2017-06-28,0.0031579507030829,1.093092883651598,0.484
2017-06-29,0.0032434039870784,1.1118016879082306,0.484
2017-06-30,0.0032485657622568,1.1318932190165634,0.484
2017-07-01,0.0032962181442097,1.1507418628416108,0.484
2017-07-02,0.0033258531047355,1.169202729410648,0.484
2017-07-03,0.0034253931314099,1.187312301450739,0.484
2017-07-04,0.0035076532324977,1.20997698483201,0.484
2017-07-05,0.0034157632242394,1.223420066292312,0.484
2017-07-06,0.0034765516806952,1.2355770531737578,0.484
2017-07-07,0.0035346259800286,1.2504930502432858,0.484
2017-07-08,0.003555591099979,1.2640174972226863,0.484
2017-07-09,0.003586756134005,1.2776217266060266,0.484
2017-07-10,0.0036414471197423,1.2888873988547884,0.484
2017-07-11,0.0036168108021229,1.2945791864138168,0.484
2017-07-12,0.0035269191076503,1.3003751717630998,0.484
2017-07-13,0.0035612568911338,1.3047919434502613,0.484
2017-07-14,0.0034857995280755,1.302245992741279,0.484
2017-07-15,0.0036144405960721,1.3053145736089935,0.484
2017-07-16,0.0036998704657263,1.3112126780487428,0.484
2017-07-17,0.0035142724736405,1.30458142864486,0.484
2017-07-18,0.0036046421151589,1.303946918538882,0.484
2017-07-19,0.0037511749427953,1.3156402585143003,0.484
2017-07-20,0.0038687863144151,1.3316757212996793,0.484
2017-07-21,0.0038558616889128,1.3509718196861915,0.484
2017-07-22,0.0038455143553154,1.3630206657038757,0.484
2017-07-23,0.0039878232693861,1.378035347608997,0.484
2017-07-24,0.0038796783854587,1.397088655868092,0.484
2017-07-25,0.0040661590397444,1.4211534669357628,0.484
2017-07-26,0.0040479582896655,1.4366285985939966,0.484
2017-07-27,0.0039851838130227,1.442697896735678,0.484
2017-07-28,0.004085085523955,1.454650282420025,0.484
2017-07-29,0.0040361569188362,1.4645909303750353,0.484
2017-07-30,0.0041645024874355,1.473803489601894,0.484
2017-07-31,0.004260569724947,1.49366425230378,0.484
2017-08-01,0.0042590216950713,1.503720662188683,0.484
2017-08-02,0.0041994985321756,1.5116224034052783,0.484
2017-08-03,0.0040397656046974,1.514468453971174,0.484
2017-08-04,0.0042025632361114,1.5205940775336158,0.484
2017-08-05,0.0041619118039179,1.5271512965414489,0.484
2017-08-06,0.0042165881274921,1.529867190630117,0.484
2017-08-07,0.0043391103454937,1.533962522987197,0.484
2017-08-08,0.0043895003259948,1.5407660515996398,0.484
2017-08-09,0.0044760872223332,1.5551881761578574,0.484
2017-08-10,0.0043968157045787,1.5738057885088128,0.484
2017-08-11,0.004459652047079,1.5872111336521209,0.484
2017-08-12,0.004598750033588,1.6099891270563456,0.484
2017-08-13,0.0046182129363957,1.6309309920920338,0.484
2017-08-14,0.0047211185856434,1.6508499931855534,0.484
2017-08-15,0.0047842400467752,1.6714328500548143,0.484
2017-08-16,0.0048110499273799,1.6888987625322462,0.484
2017-08-17,0.004875581096867,1.7138629579872762,0.484
2017-08-18,0.0048363894602522,1.733507123102737,0.484
2017-08-19,0.0050287839655856,1.7559303209854702,0.484
2017-08-20,0.004915355851671,1.7714242015676838,0.484
2017-08-21,0.0050439891588043,1.7882595957396423,0.484
2017-08-22,0.0050557480882082,1.8024168007572223,0.484
2017-08-23,0.0051800938979983,1.8216598077966109,0.484
2017-08-24,0.0051229660201502,1.8345591645106631,0.484
2017-08-25,0.0050235113770314,1.844316235885576,0.484
2017-08-26,0.0050558087772781,1.8457253867809744,0.484
2017-08-27,0.0050336258552104,1.8518923226798167,0.484
2017-08-28,0.0048766563520537,1.8431671120421087,0.484
2017-08-29,0.0052291755453203,1.8522101151629509,0.484
2017-08-30,0.005252816644127,1.856002086925379,0.484
2017-08-31,0.0051608892626737,1.857979513142675,0.484
2017-09-01,0.0052167155752883,1.8680537320517885,0.484
2017-09-02,0.0052099727706345,1.8760922831339444,0.484
2017-09-03,0.0051879484455916,1.884139103918104,0.484
2017-09-04,0.0052688729277896,1.9045903967957576,0.484
2017-09-05,0.0052942506974754,1.9079836011581348,0.484
2017-09-06,0.0052498698455395,1.9078299466603568,0.484
2017-09-07,0.0053605914816763,1.9182429909369223,0.484
2017-09-08,0.005623690077691,1.9394638042764905,0.484
2017-09-09,0.0054844744801962,1.9537771077036337,0.484
2017-09-10,0.0053995555003118,1.9648109041283264,0.484
2017-09-11,0.0054019379702442,1.9717492956277511,0.484
2017-09-12,0.0056950068665687,1.9926458673019,0.484
2017-09-13,0.0054549478889253,2.0033392224213027,0.484
2017-09-14,0.0055641669701996,2.0139542300371573,0.484
2017-09-15,0.0057574882064614,2.0209308467516127,0.484
2017-09-16,0.0056471263914511,2.02941198212419,0.484
2017-09-17,0.005690858603525,2.0446013582203104,0.484
2017-09-18,0.00557784361766,2.053773581264132,0.484
2017-09-19,0.0057247009741273,2.0553219168725456,0.484
2017-09-20,0.0056587342544958,2.0659479202201503,0.484
2017-09-21,0.0057646588427144,2.076402139286996,0.484
2017-09-22,0.0057124876827003,2.074055683405169,0.484
2017-09-23,0.0054774602070309,2.0652088037889733,0.484
2017-09-24,0.0056256800951379,2.0618102101373617,0.484
2017-09-25,0.0053496268360864,2.0499103350981644,0.484
2017-09-26,0.0054275236842993,2.0344146621285595,0.484
2017-09-27,0.0055675318718557,2.0296591093194665,0.484
2017-09-28,0.0053682662154166,2.0089900651817976,0.484
2017-09-29,0.0051496602966991,1.979642637197448,0.484
2017-09-30,0.0051240400783764,1.9612143019176056,0.484
2017-10-01,0.0053685388365104,1.9478062220034584,0.484
2017-10-02,0.0053469072384086,1.947664414410261,0.484
2017-10-03,0.0053411417248077,1.9431602122367693,0.484
2017-10-04,0.0054968287102046,1.9394735473792504,0.484
2017-10-05,0.0056747311532044,1.955453504849611,0.484
2017-10-06,0.0054185686123426,1.969475152736736,0.484
2017-10-07,0.0053072954957702,1.979030613786554,0.484
2017-10-08,0.0054826879528774,1.984982674854261,0.484
2017-10-09,0.005517204420573,1.993862456495692,0.484
2017-10-10,0.0055918205699054,2.0069335677043623,0.484
2017-10-11,0.0057583358498175,2.0205692971270324,0.484
2017-10-12,0.005556496852632,2.0144042228829027,0.484
2017-10-13,0.0057988802481522,2.0342347581786897,0.484
2017-10-14,0.0055387775038978,2.0463048914596307,0.484
2017-10-15,0.0057204281692674,2.058701345599963,0.484
2017-10-16,0.0059289808264192,2.0801725439047987,0.484
2017-10-17,0.0060329856265902,2.103176150431932,0.484
2017-10-18,0.0059964567874686,2.1155924564665995,0.484
2017-10-19,0.0062165921906616,2.1500117133781425,0.484
2017-10-20,0.0061792629815301,2.169845955904274,0.484
2017-10-21,0.0061485765980706,2.2016426229575687,0.484
2017-10-22,0.0062632174124458,2.2299452049233,0.484
2017-10-23,0.0062056872097741,2.244373466341092,0.484
2017-10-24,0.006409531506896,2.26400764438561,0.484
2017-10-25,0.0062544914776722,2.277462310374794,0.484
2017-10-26,0.0060469302416091,2.268615651602772,0.484
2017-10-27,0.0061704431123827,2.2681557584257983,0.484
2017-10-28,0.0062502277979512,2.2734561424195707,0.484
2017-10-29,0.0061710561979329,2.268650593377113,0.484
2017-10-30,0.0060708140944625,2.261617923793006,0.484
2017-10-31,0.0062863409331286,2.2551944153037056,0.484
2017-11-01,0.0063481043798759,2.260075659490044,0.484
2017-11-02,0.00610125341627,2.2629082250259347,0.484
2017-11-03,0.0059907901368967,2.253540605589883,0.484
2017-11-04,0.0058986243001689,2.235206994634092,0.484
2017-11-05,0.0061660639211575,2.2349466830593747,0.484
2017-11-06,0.0060403494964161,2.233358171875529,0.484
2017-11-07,0.0060035230267301,2.21861123818475,0.484
2017-11-08,0.0061197074739413,2.2067019709467317,0.484
2017-11-09,0.0060125826190539,2.2020784222347496,0.484
2017-11-10,0.0061006013382045,2.2078042920172223,0.484
2017-11-11,0.00609772962513,2.218186212533053,0.484
2017-11-12,0.0062314327821043,2.2215947317109968,0.484
2017-11-13,0.0061906149542249,2.2294300020110267,0.484
2017-11-14,0.0060446689016338,2.231575465488151,0.484
2017-11-15,0.0060795634904222,2.2294822434903687,0.484
2017-11-16,0.0058832156882642,2.222736682099188,0.484
2017-11-17,0.0059351243975763,2.2141082416235767,0.484
2017-11-18,0.0058763489790774,2.202564822222264,0.484
2017-11-19,0.0059536230226939,2.188079027624433,0.484
2017-11-20,0.0063331698424746,2.1955122467974517,0.484
2017-11-21,0.0062582247779356,2.206647660347474,0.484
2017-11-22,0.0062379416326649,2.214905949192985,0.484
2017-11-23,0.0064380512471769,2.2438366604791464,0.484
2017-11-24,0.0065785530465818,2.277386868605863,0.484
