date,emissions_24h_mt,emissions_365d_mt,intesity_kgCO2e/kWh
2017-06-12,0.0173970170226216,6.44313826468275,0.484
2017-06-13,0.0172338196402176,6.444298650191276,0.484
2017-06-14,0.0168258237658235,6.406301762403023,0.484
2017-06-15,0.0166299878742921,6.344692883207629,0.484
2017-06-16,0.0165810301106013,6.261113601232567,0.484
2017-06-17,0.0166534365245958,6.204768953012906,0.484
2017-06-18,0.0167519469744172,6.156666799726843,0.484
2017-06-19,0.016936808239806,6.132670198908603,0.484
2017-06-20,0.0169971372445991,6.1203289025656415,0.484
2017-06-21,0.0171080056361545,6.135042671518612,0.484
2017-06-22,0.0169896015603638,6.153793956578062,0.484
2017-06-23,0.0173121510947694,6.191916693609684,0.484
2017-06-24,0.0174369638878975,6.232772048981851,0.484
2017-06-25,0.0170433912550888,6.247968786474015,0.484
2017-06-26,0.0168893837315084,6.2454959371127785,0.484
2017-06-27,0.0167695963401263,6.233631304236698,0.484
2017-06-28,0.0170604989028041,6.231154167426286,0.484
2017-06-29,0.0167353762079279,6.217898131192128,0.484
2017-06-30,0.0166327013010291,6.182469677661381,0.484
2017-07-01,0.0169405712451558,6.156586347004134,0.484
2017-07-02,0.0178567813473302,6.198998830385289,0.484
2017-07-03,0.0181431520882295,6.264373894700036,0.484
2017-07-04,0.0183461301577839,6.3465788723350345,0.484
2017-07-05,0.0180402866046132,6.397667802500793,0.484
2017-07-06,0.0182557367385694,6.476943744455668,0.484
2017-07-07,0.0179852516208242,6.547469582559272,0.484
2017-07-08,0.0178154167619413,6.593086527363083,0.484
2017-07-09,0.01701652028829,6.549272914998845,0.484
2017-07-10,0.0174479265611631,6.513021869658959,0.484
2017-07-11,0.017767484243498,6.482849618414053,0.484
2017-07-12,0.0182148649987669,6.491952634680642,0.484
2017-07-13,0.018454532126611,6.502318394199955,0.484
2017-07-14,0.0184879733130684,6.528531739581262,0.484
2017-07-15,0.0181553167365942,6.546255095402448,0.484
2017-07-16,0.0189070834979875,6.644834462765243,0.484
2017-07-17,0.0178231534742225,6.664399866089055,0.484
2017-07-18,0.0173597456399265,6.643139210331396,0.484
2017-07-19,0.0166093208342382,6.559421550323829,0.484
2017-07-20,0.0163597266588476,6.450192408076164,0.484
2017-07-21,0.0161089424138057,6.326142939757466,0.484
2017-07-22,0.0160362957417283,6.215651130739454,0.484
2017-07-23,0.0154779539302562,6.036846517564898,0.484
2017-07-24,0.0158962753132579,5.936373584886029,0.484
2017-07-25,0.0156592268782191,5.847703678025574,0.484
2017-07-26,0.015631340877992,5.79670900887845,0.484
2017-07-27,0.0156095669255767,5.75759353707218,0.484
2017-07-28,0.0156985908370294,5.73619663342599,0.484
2017-07-29,0.0158083148214188,5.724309056866999,0.484
2017-07-30,0.0156016174281375,5.730757224970808,0.484
2017-07-31,0.0152814374722917,5.6986978232632834,0.484
2017-08-01,0.0154392175633491,5.687225908987917,0.484
2017-08-02,0.0155786318377334,5.684477509031574,0.484
2017-08-03,0.0153290263013487,5.669849319339686,0.484
2017-08-04,0.0156706796827053,5.668393952007071,0.484
2017-08-05,0.0158791640059447,5.672088230914494,0.484
2017-08-06,0.015703845460681,5.677418692611406,0.484
2017-08-07,0.015745580681526,5.70162044566434,0.484
2017-08-08,0.0158861060365805,5.724922487482837,0.484
2017-08-09,0.0163431532090907,5.764786816132184,0.484
2017-08-10,0.0170200101141598,5.852959543514476,0.484
2017-08-11,0.0173051978426912,5.938187990428031,0.484
2017-08-12,0.0174402348816429,6.019586686089431,0.484
2017-08-13,0.0183666607917516,6.158433485495254,0.484
2017-08-14,0.0187479411227206,6.314985137071826,0.484
2017-08-15,0.0194082341101062,6.498638958048524,0.484
2017-08-16,0.0193468726422953,6.655261471351332,0.484
2017-08-17,0.0202416418139533,6.823246552840562,0.484
2017-08-18,0.0203410601294131,6.981545086362488,0.484
2017-08-19,0.0206592013383963,7.149391194464636,0.484
2017-08-20,0.0203012919367254,7.25026838988113,0.484
2017-08-21,0.0200030369903458,7.3157126744072976,0.484
2017-08-22,0.018750362749536,7.281409382034704,0.484
2017-08-23,0.0193269907122109,7.280372681394592,0.484
2017-08-24,0.0177035654831602,7.1480301298603806,0.484
2017-08-25,0.0166728808552642,6.956760781994042,0.484
2017-08-26,0.0156789403217341,6.697075743268083,0.484
2017-08-27,0.0160589932284521,6.475870167765259,0.484
2017-08-28,0.0162399538856242,6.279652263019061,0.484
2017-08-29,0.017320466815525,6.205093403602778,0.484
2017-08-30,0.0173725610250115,6.103183855627382,0.484
2017-08-31,0.0185547625103731,6.147567700617773,0.484
2017-09-01,0.0199511507417753,6.318506058985849,0.484
2017-09-02,0.020926257276127,6.59211615732205,0.484
2017-09-03,0.0207629994669466,6.837396482614981,0.484
2017-09-04,0.0214791378072611,7.11058250138605,0.484
2017-09-05,0.0222129428869825,7.365690182254903,0.484
2017-09-06,0.0220003473135655,7.606996181586648,0.484
2017-09-07,0.0222088700513969,7.797531789082884,0.484
2017-09-08,0.0221880787144217,7.914171604799448,0.484
2017-09-09,0.0223986510701052,7.990946424056879,0.484
2017-09-10,0.0222052407961277,8.06614900764989,0.484
2017-09-11,0.022310199390417,8.109482933057304,0.484
2017-09-12,0.0222795219118333,8.112954553638813,0.484
2017-09-13,0.0228696049636239,8.15828013110614,0.484
2017-09-14,0.0228318030578446,8.190761637870915,0.484
2017-09-15,0.022926303701745,8.229254797924206,0.484
2017-09-16,0.022926303701745,8.256768113716854,0.484
2017-09-17,0.0236445234293607,8.331816422449721,0.484
2017-09-18,0.023111481121161,8.373597541267086,0.484
2017-09-19,0.0230840011876923,8.415545389222594,0.484
2017-09-20,0.0221372641185997,8.377359045160615,0.484
2017-09-21,0.0228264133812847,8.37707801202571,0.484
2017-09-22,0.0225659123475625,8.358286177129049,0.484
2017-09-23,0.0231235543262987,8.368571388266496,0.484
2017-09-24,0.0230742602126255,8.338836234822443,0.484
2017-09-25,0.0231437820955891,8.340520499917623,0.484
2017-09-26,0.0227369562879265,8.322424587286978,0.484
2017-09-27,0.0234149965536658,8.389049207115423,0.484
2017-09-28,0.0234375977585055,8.420918106784795,0.484
2017-09-29,0.0241156380242447,8.501725231354655,0.484
2017-09-30,0.0234828001681849,8.52045733596729,0.484
2017-10-01,0.0231450388626769,8.524147937005681,0.484
2017-10-02,0.023772944422986,8.5569542583628,0.484
2017-10-03,0.0248667232413411,8.668006392362278,0.484
2017-10-04,0.0246290706453282,8.731311684284673,0.484
2017-10-05,0.0235061925182077,8.734888411040574,0.484
2017-10-06,0.0233468220898421,8.69480015160386,0.484
2017-10-07,0.0238650716313371,8.714732877896799,0.484
2017-10-08,0.0251153694589606,8.817471544703023,0.484
2017-10-09,0.0253685977257654,8.900673466919384,0.484
2017-10-10,0.0248391114503418,8.899233709245845,0.484
2017-10-11,0.0249542148333852,8.916187656194529,0.484
2017-10-12,0.0255987921302086,9.02530177882029,0.484
2017-10-13,0.0250693223369763,9.115117863135149,0.484
2017-10-14,0.0246779733069577,9.15750487907822,0.484
2017-10-15,0.0252207318669372,9.162998776065566,0.484
2017-10-16,0.0257799396538482,9.184447319458457,0.484
2017-10-17,0.026117008707321,9.251080533572376,0.484
2017-10-18,0.0266188255040758,9.33787808997267,0.484
2017-10-19,0.0274602248884788,9.434938512368184,0.484
2017-10-20,0.0287174905624803,9.62516442698375,0.484
2017-10-21,0.0292222947564107,9.862118331133802,0.484
2017-10-22,0.0289514099421605,10.056646545056164,0.484
2017-10-23,0.0288778581634205,10.218180867341005,0.484
2017-10-24,0.0289514017010647,10.365974216300495,0.484
2017-10-25,0.0297848937541848,10.531062060770465,0.484
2017-10-26,0.0299965250906602,10.663311999884211,0.484
2017-10-27,0.0287034106505501,10.662577833047846,0.484
2017-10-28,0.027482236854979,10.57184624247319,0.484
2017-10-29,0.0276035045775738,10.50156260560546,0.484
2017-10-30,0.0277861272573361,10.444636636931058,0.484
2017-10-31,0.0277989833665613,10.384546252346237,0.484
2017-11-01,0.027906241226539,10.286587941976135,0.484
2017-11-02,0.0276006406354455,10.161659681097088,0.484
2017-11-03,0.0278928800255432,10.11939629850744,0.484
2017-11-04,0.0290636407499462,10.201855215887871,0.484
2017-11-05,0.0284941575446991,10.248296406316548,0.484
2017-11-06,0.0279052462164679,10.254507609185566,0.484
2017-11-07,0.0282388370378298,10.277442836330282,0.484
2017-11-08,0.0276951780384476,10.266437398665516,0.484
2017-11-09,0.0277805441604355,10.275818082468566,0.484
2017-11-10,0.0277310546685702,10.267380045997834,0.484
2017-11-11,0.026169288166821,10.116460232734878,0.484
2017-11-12,0.0242944100802403,9.897473400659534,0.484
